1.0,2253787.697879707
2.0,598892.3399488806
3.0,1602757.5133964163
4.0,87920.1800602985
5.0,463583.0469413337
6.0,686732.531021593
7.0,52486.410577021416
8.0,325379.9883889818
9.0,235884.38063696775
10.0,494861.1929413729
11.0,103228.15308743113
12.0,255114.08877643605
13.0,47775.756559013345
14.0,192469.72943487178
15.0,55857.081796198356
16.0,145626.3796284469
17.0,73060.75190322203
18.0,174273.13042824387
19.0,281740.8493108085
20.0,108497.63959786929
21.0,120458.6617812411
22.0,113556.64474412224
23.0,88267.54611410217
24.0,134341.16646752253
25.0,106981.7833324031
26.0,84509.34966280722
27.0,58928.77587849389
28.0,115906.99139571706
29.0,156122.3184285213
